사업명,지원연도,지원기간,광역,기초,시장명,지원금액(단위_백만원)
청년몰 활성화사업(17곳 선정·지원),2018,‘18,경기,수원시,영동시장,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,강원,원주시,원주중앙시장,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,강원,정선군,정선아리랑시장,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,대전,동구,중앙메가프라자,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,경남,진주시,진주중앙지하도상가,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,충남,천안시,천안명동대흥로상점가,50
청년몰 활성화사업(17곳 선정·지원),2018,‘18,광주,광산구,1913송정역시장,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,부산,부산진구,서면시장,150
청년몰 활성화사업(17곳 선정·지원),2018,‘18,강원,춘천시,육림고개상점가,150
청년몰 활성화사업(17곳 선정·지원),2019,‘19,서울,성동구,뚝도시장,150
청년몰 확장사업(9곳 선정·지원),2019,’19,경남,진주시,진주중앙지하도상가,500
청년몰 활성화사업(17곳 선정·지원),2019,’19,광주,광산구,1913송정역시장,150
청년몰 활성화사업(17곳 선정·지원),2019,’19,강원,춘천시,육림고개상점가,125
청년몰 활성화사업(17곳 선정·지원),2019,’19,부산,부산진구,서면시장,150
지역 선도시장,2020,‘19~’20,충남,서천군,서천특화시장,450
지역 선도시장,2020,‘20~'21,대구,수성구,신매시장,540
첫걸음 기반조성,2020,‘20(단년도사업),서울,관악구,관악신사시장,140
첫걸음 기반조성,2020,‘20(단년도사업),서울,성동구,금남시장,140
첫걸음 기반조성,2020,‘20(단년도사업),서울,중구,삼익패션타운,150
첫걸음 기반조성,2020,‘20(단년도사업),강원,인제군,원통시장,108
첫걸음 기반조성,2020,‘20(단년도사업),부산,연제구,연동골목시장,162
첫걸음 기반조성,2020,‘20(단년도사업),부산,부산진구,당감새시장,168
첫걸음 기반조성,2020,‘20(단년도사업),울산,남구,신정시장,135
첫걸음 기반조성,2020,‘20(단년도사업),경남,진주시,진주자유시장,112
첫걸음 기반조성,2020,‘20(단년도사업),대구,달성군,화원전통시장,104
첫걸음 기반조성,2020,‘20(단년도사업),경북,포항시,포항대해불빛시장,140
첫걸음 기반조성,2020,‘20(단년도사업),경북,문경시,문경전통시장,108
첫걸음 기반조성,2020,‘20(단년도사업),경북,경산시,경산공설시장,140
첫걸음 기반조성,2020,‘20(단년도사업),경북,의성군,안계정기시장,108
첫걸음 기반조성,2020,‘20(단년도사업),경기,부천시,원미종합시장,135
첫걸음 기반조성,2020,‘20(단년도사업),경기,안산시,한대앞역상점가,112
첫걸음 기반조성,2020,‘20(단년도사업),경기,평택시,안중시장,112
첫걸음 기반조성,2020,‘20(단년도사업),경기,시흥시,도일시장,108
첫걸음 기반조성,2020,‘20(단년도사업),인천,동구,현대시장,145
첫걸음 기반조성,2020,‘20(단년도사업),인천,남동구,구월도매전통시장,135
첫걸음 기반조성,2020,‘20(단년도사업),인천,서구,신거북시장,140
첫걸음 기반조성,2020,‘20(단년도사업),인천,서구,인천축산물시장,140
첫걸음 기반조성,2020,‘20(단년도사업),광주,동구,금남지하도상가 1공구,168
첫걸음 기반조성,2020,‘20(단년도사업),광주,서구,양동경열로시장,162
첫걸음 기반조성,2020,‘20(단년도사업),광주,광산구,월곡시장,156
첫걸음 기반조성,2020,‘20(단년도사업),전북,전주시,전북대대학로상점가,140
첫걸음 기반조성,2020,‘20(단년도사업),전남,순천시,순천지하도상가 씨내몰,135
첫걸음 기반조성,2020,‘20(단년도사업),충북,청주시,오창전통시장,135
첫걸음 기반조성,2020,‘20(단년도사업),충북,음성군,음성전통시장,140
첫걸음 기반조성,2020,‘20(단년도사업),충남,공주시,유구시장,108
첫걸음 기반조성,2020,‘20(단년도사업),충남,태안군,안면도수산시장,104
첫걸음 컨설팅,2020,‘20(단년도사업),서울,동작구,남성역골목시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),서울,송파구,풍납시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),서울,송파구,문정동로데오상점가,15
첫걸음 컨설팅,2020,‘20(단년도사업),서울,종로구,통인시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),서울,중구,인현시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),강원,영월군,영월중앙시장(상점가),15
첫걸음 컨설팅,2020,‘20(단년도사업),부산,동래구,충렬상가시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),부산,동래구,사직시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),경남,창원시,회성종합시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),경북,군위군,군위전통시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),경북,영주시,풍기인삼홍삼상점가,15
첫걸음 컨설팅,2020,‘20(단년도사업),경북,영주시,소백쇼핑몰,15
첫걸음 컨설팅,2020,‘20(단년도사업),광주,서구,양동산업용품시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),광주,서구,화정동서부시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),전남,구례군,구례5일시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),제주,제주시,누웨마루상가,15
첫걸음 컨설팅,2020,‘20(단년도사업),경기,이천시,관고전통시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),경기,이천시,장호원전통시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),경기,안양시,안양관양시장,15
첫걸음 컨설팅,2020,‘20(단년도사업),충남,서천군,장항전통시장,15
청년몰 조성,2020,‘20~'21,경남,거창군,거창전통시장,927
청년몰 조성,2020,‘20~'21,경북,김천시,김천평화시장,750
청년몰 조성,2020,‘20~'21,경기,안산시,다농마트전통시장,1500
청년몰 확장,2020,‘20,강원,춘천시,육림고개상점가,500
청년몰 확장,2020,‘20,울산,남구,신정평화시장,401
청년몰 확장,2020,‘20,강원,속초시,설악로데오거리상점가,500
청년몰 확장,2020,‘20,제주,제주시,중앙로상점가,125
청년몰 활성화,2020,‘20,강원,삼척시,삼척중앙시장,150
청년몰 활성화,2020,‘20,서울,동대문구,경동시장,150
청년몰 활성화,2020,‘20,대구,달성군,현풍백년도깨비시장,150
청년몰 활성화,2020,‘20,전북,완주군,삼례시장,150
청년몰 활성화,2020,‘20,전북,진안군,진안고원시장,150
청년몰 활성화,2020,‘20,울산,남구,신정평화시장,180
청년몰 활성화,2020,‘20,강원,속초시,설악로데오거리상점가,150
청년몰 활성화,2020,‘20,경남,김해시,동상시장,150
청년몰 활성화,2020,‘20,제주,제주시,중앙로상점가,95
문화관광형 시장,2021,‘20~'21,서울,구로구,구로시장,225
문화관광형 시장,2021,‘20~'21,서울,동작구,남성사계시장,225
문화관광형 시장,2021,‘20~'21,서울,성북구,정릉시장,225
문화관광형 시장,2021,‘20~'21,서울,양천구,신월1동신영시장,250
문화관광형 시장,2021,‘20~'21,서울,은평구,연서시장,220
문화관광형 시장,2021,‘20~'21,서울,강서구,화곡중앙골목시장,220
문화관광형 시장,2021,‘20~'21,부산,부산진구,평화시장,264
문화관광형 시장,2021,‘20~'21,부산,사상구,르네시떼,264
문화관광형 시장,2021,‘20~'21,부산,수영구,민락골목시장,264
문화관광형 시장,2021,‘20~'21,부산,해운대구,반송큰시장,270
문화관광형 시장,2021,‘20~'21,대구,달서구,서남신시장,282
문화관광형 시장,2021,‘20~'21,인천,부평구,부평문화의거리,264
문화관광형 시장,2021,‘20~'21,인천,서구,가좌시장,235
문화관광형 시장,2021,‘20~'21,인천,남동구,간석자유시장,225
문화관광형 시장,2021,‘20~'21,광주,남구,무등시장,282
문화관광형 시장,2021,‘20~'21,광주,동구,금남지하도상가 2공구,270
문화관광형 시장,2021,‘20~'21,광주,북구,패션의거리,300
문화관광형 시장,2021,‘20~'21,대전,동구,신도꼼지락시장,282
문화관광형 시장,2021,‘20~'21,대전,서구,한민시장,270
문화관광형 시장,2021,‘20~'21,울산,중구,젊음의거리,235
문화관광형 시장,2021,‘20~'21,울산,동구,남목전통시장,225
문화관광형 시장,2021,‘20~'21,경기,수원시,반딧불이연무시장,180
문화관광형 시장,2021,‘20~'21,경기,파주시,적성전통시장,188
문화관광형 시장,2021,‘20~'21,경기,부천시,부천상동시장,250
문화관광형 시장,2021,‘20~'21,경기,안산시,도리섬상점가,180
문화관광형 시장,2021,‘20~'21,강원,평창군,봉평전통시장,220
문화관광형 시장,2021,‘20~'21,강원,태백시,황지자유시장,180
문화관광형 시장,2021,‘20~'21,강원,강릉시,주문진건어물시장,225
문화관광형 시장,2021,‘20~'21,충북,단양군,단양구경시장,180
문화관광형 시장,2021,‘20~'21,충북,보은군,보은종합시장,220
문화관광형 시장,2021,‘20~'21,충북,충주시,옹달샘시장,176
문화관광형 시장,2021,‘20~'21,충북,청주시,내덕자연시장,220
문화관광형 시장,2021,‘20~'21,충북,충주시,성서문화의거리상점가,180
문화관광형 시장,2021,‘20~'21,충남,당진시,당진전통시장,200
문화관광형 시장,2021,‘20~'21,충남,홍성군,명동상가,225
문화관광형 시장,2021,‘20~'21,충남,보령시,한내시장,180
문화관광형 시장,2021,‘20~'21,경북,경주시,경주중앙시장,220
문화관광형 시장,2021,‘20~'21,경남,김해시,김해삼방시장,235
문화관광형 시장,2021,‘20~'21,경남,창원시,창동통합상가,220
문화관광형 시장,2021,‘20~'21,경남,창원시,명서시장,235
문화관광형 시장,2021,‘20~'21,경남,창원시,가음정시장,220
문화관광형 시장,2021,‘20~'21,전북,무주군,무주반딧불시장,200
문화관광형 시장,2021,‘20~'21,전남,광양시,중마시장,180
문화관광형 시장,2021,‘20~'21,전남,나주시,나주목사고을시장,235
문화관광형 시장,2021,‘20~'21,전남,완도군,완도전통시장,220
문화관광형 시장,2021,‘21~'22,서울,종로구,세종마을음식문화거리,230
문화관광형 시장,2021,‘21~'22,서울,용산구,용산용문전통시장,230
문화관광형 시장,2021,‘21~'22,서울,양천구,목사랑시장,220
문화관광형 시장,2021,‘21~'22,부산,동구,초량전통시장,264
문화관광형 시장,2021,‘21~'22,부산,남구,못골골목시장,276
문화관광형 시장,2021,‘21~'22,부산,사하구,괴정골목시장,276
문화관광형 시장,2021,‘21~'22,대구,북구,서변중앙시장,252
문화관광형 시장,2021,‘21~'22,대구,달서구,와룡시장,276
문화관광형 시장,2021,‘21~'22,인천,미추홀구,석바위시장,276
문화관광형 시장,2021,‘21~'22,인천,남동구,인천모래내전통시장,276
문화관광형 시장,2021,‘21~'22,인천,계양구,계산시장,230
문화관광형 시장,2021,‘21~'22,광주,동구,남광주시장,276
문화관광형 시장,2021,‘21~'22,광주,동구,조대 장미의 거리,276
문화관광형 시장,2021,‘21~'22,광주,북구,말바우시장,300
문화관광형 시장,2021,‘21~'22,광주,광산구,월곡시장,210
문화관광형 시장,2021,‘21~'22,대전,동구,대전역전지하상가,276
문화관광형 시장,2021,‘21~'22,대전,중구,중앙로지하상가,300
문화관광형 시장,2021,‘21~'22,울산,남구,야음상가시장,230
문화관광형 시장,2021,‘21~'22,울산,남구,신정시장,220
문화관광형 시장,2021,‘21~'22,경기,부천시,부천중동시장,220
문화관광형 시장,2021,‘21~'22,경기,평택시,통복시장,200
문화관광형 시장,2021,‘21~'22,경기,군포시,산본시장,184
문화관광형 시장,2021,‘21~'22,경기,부천시,원미종합시장,230
문화관광형 시장,2021,‘21~'22,강원,원주시,중앙시민전통시장,176
문화관광형 시장,2021,‘21~'22,강원,정선군,고한구공탄시장,176
문화관광형 시장,2021,‘21~'22,충북,청주시,가경터미널시장,220
문화관광형 시장,2021,‘21~'22,충북,청주시,청주사창시장,220
문화관광형 시장,2021,‘21~'22,충북,음성군,무극시장,230
문화관광형 시장,2021,‘21~'22,충남,금산군,금산시장,176
문화관광형 시장,2021,‘21~'22,충남,공주시,유구시장,176
문화관광형 시장,2021,‘21~'22,충남,태안군,안면도수산시장,210
문화관광형 시장,2021,‘21~'22,경북,포항시,큰동해시장,230
문화관광형 시장,2021,‘21~'22,경북,김천시,김천평화시장,184
문화관광형 시장,2021,‘21~'22,경북,안동시,안동중앙신시장,192
문화관광형 시장,2021,‘21~'22,경남,창원시,창원반송시장,230
문화관광형 시장,2021,‘21~'22,경남,거제시,거제고현시장,230
문화관광형 시장,2021,‘21~'22,경남,거창군,거창시장,184
문화관광형 시장,2021,‘21~'22,전북,전주시,전주모래내시장,230
문화관광형 시장,2021,‘21~'22,전북,김제시,김제전통시장,220
문화관광형 시장,2021,‘21~'22,전남,목포시,자유시장,230
문화관광형 시장,2021,‘21~'22,전남,여수시,(주)여수수산시장,184
문화관광형 시장,2021,‘21~'22,전남,강진군,강진중앙로상가,220
지역 선도시장,2021,‘20~'21,대구,수성구,신매시장,540
첫걸음 기반조성,2021,‘21(단년도사업),서울,노원구,공릉동도깨비시장,140
첫걸음 기반조성,2021,‘21(단년도사업),서울,마포구,망원동월드컵시장,135
첫걸음 기반조성,2021,‘21(단년도사업),인천,부평구,부평시장로타리지하상가,168
첫걸음 기반조성,2021,‘21(단년도사업),광주,북구,광주자동차의거리,168
첫걸음 기반조성,2021,‘21(단년도사업),울산,중구,중앙길(문화의거리)상가,168
첫걸음 기반조성,2021,‘21(단년도사업),경기,이천시,관고전통시장,112
첫걸음 기반조성,2021,‘21(단년도사업),경기,이천시,예스파크상점가,112
첫걸음 기반조성,2021,‘21(단년도사업),경북,포항시,구룡포시장,140
첫걸음 기반조성,2021,‘21(단년도사업),경남,하동군,화개장터,135
첫걸음 기반조성,2021,‘21(단년도사업),전남,여수시,(주)서시장,112
청년몰 조성,2021,‘21~'22,전북,익산시,익산중앙시장,1428
청년몰 확장,2021,‘21,강원,정선군,사북시장,400
청년몰 확장,2021,‘21,제주,제주시,동문공설시장,100
청년몰 활성화,2021,‘21,강원,정선군,사북시장,120
청년몰 활성화,2021,‘21,강원,속초시,설악로데오거리상점가,100
청년몰 활성화,2021,‘21,대구,중구,약령시장,150
청년몰 활성화,2021,‘21,전북,김제,김제전통시장,150
문화관광형 시장,2022,‘22~'23,서울,노원구,공릉동도깨비시장,230
문화관광형 시장,2022,‘22~'23,서울,은평구,연서시장,220
문화관광형 시장,2022,‘22~'23,서울,서대문구,영천시장,22
문화관광형 시장,2022,‘22~'23,서울,양천구,신월1동신영시장,230
문화관광형 시장,2022,‘22~'23,부산,부산진구,부산평화시장,251
문화관광형 시장,2022,‘22~'23,부산,사하구,신평골목시장,264
문화관광형 시장,2022,‘22~'23,부산,연제구,연동골목시장,264
문화관광형 시장,2022,‘22~'23,부산,수영구,민락골목시장,264
문화관광형 시장,2022,‘22~'23,부산,기장군,기장시장,220
문화관광형 시장,2022,‘22~'23,대구,달성군,현풍백년도깨비시장,176
문화관광형 시장,2022,‘22~'23,인천,미추홀구,용현시장,276
문화관광형 시장,2022,‘22~'23,인천,남동구,구월시장,276
문화관광형 시장,2022,‘22~'23,인천,부평구,부평종합시장,251
문화관광형 시장,2022,‘22~'23,인천,서구,정서진중앙시장,276
문화관광형 시장,2022,‘22~'23,광주,동구,금남지하도상가,264
문화관광형 시장,2022,‘22~'23,광주,서구,양동건어물시장,240
문화관광형 시장,2022,‘22~'23,광주,남구,봉선시장,264
문화관광형 시장,2022,‘22~'23,광주,북구,패션의거리,264
문화관광형 시장,2022,‘22~'23,경기,수원시,정자시장,230
문화관광형 시장,2022,‘22~'23,경기,부천시,부천상동시장,209
문화관광형 시장,2022,‘22~'23,경기,부천시,역곡상상시장,220
문화관광형 시장,2022,‘22~'23,경기,오산시,오색시장,209
문화관광형 시장,2022,‘22~'23,경기,파주시,광탄시장,184
문화관광형 시장,2022,‘22~'23,경기,양평군,용문천년시장,184
문화관광형 시장,2022,‘22~'23,경기,이천시,예스파크상점가,184
문화관광형 시장,2022,‘22~'23,강원,태백시,황지자유시장,230
문화관광형 시장,2022,‘22~'23,강원,삼척시,삼척중앙시장,230
문화관광형 시장,2022,‘22~'23,강원,평창군,봉평전통시장,176
문화관광형 시장,2022,‘22~'23,충북,청주시,직지시장,220
문화관광형 시장,2022,‘22~'23,충북,제천시,내토전통시장,176
문화관광형 시장,2022,‘22~'23,충북,음성군,음성시장,230
문화관광형 시장,2022,‘22~'23,충남,보령시,보령중앙시장,220
문화관광형 시장,2022,‘22~'23,전북,진안군,진안고원시장,176
문화관광형 시장,2022,‘22~'23,전북,무주군,무주시장(반딧불장터),176
문화관광형 시장,2022,‘22~'23,전남,광양시,광양5일시장,184
문화관광형 시장,2022,‘22~'23,전남,광양시,중마시장,176
문화관광형 시장,2022,‘22~'23,경북,경산시,경산공설시장,230
문화관광형 시장,2022,‘22~'23,경남,창원시,봉곡시장,230
문화관광형 시장,2022,‘22~'23,경남,진주시,자유시장,176
문화관광형 시장,2022,‘22~'23,제주,제주시,중앙로상점가,184
문화관광형 시장,2022,‘21~'22,서울,종로구,세종마을음식문화거리,200
문화관광형 시장,2022,‘21~'22,서울,용산구,용산용문전통시장,200
문화관광형 시장,2022,‘21~'22,서울,양천구,목사랑시장,225
문화관광형 시장,2022,‘21~'22,부산,동구,초량전통시장,228
문화관광형 시장,2022,‘21~'22,부산,남구,못골골목시장,240
문화관광형 시장,2022,‘21~'22,부산,사하구,괴정골목시장,240
문화관광형 시장,2022,‘21~'22,대구,북구,서변중앙시장,228
문화관광형 시장,2022,‘21~'22,대구,달서구,와룡시장,300
문화관광형 시장,2022,‘21~'22,인천,미추홀구,석바위시장,270
문화관광형 시장,2022,‘21~'22,인천,남동구,인천모래내전통시장,240
문화관광형 시장,2022,‘21~'22,인천,계양구,계산시장,225
문화관광형 시장,2022,‘21~'22,광주,동구,남광주시장,228
문화관광형 시장,2022,‘21~'22,광주,동구,조대 장미의 거리,270
문화관광형 시장,2022,‘21~'22,광주,북구,말바우시장,228
문화관광형 시장,2022,‘21~'22,광주,광산구,월곡시장,200
문화관광형 시장,2022,‘21~'22,대전,동구,대전역전지하상가,240
문화관광형 시장,2022,‘21~'22,대전,중구,중앙로지하상가,240
문화관광형 시장,2022,‘21~'22,울산,남구,야음상가시장,190
문화관광형 시장,2022,‘21~'22,울산,남구,신정시장,200
문화관광형 시장,2022,‘21~'22,경기,부천시,부천중동시장,250
문화관광형 시장,2022,‘21~'22,경기,평택시,통복시장,160
문화관광형 시장,2022,‘21~'22,경기,군포시,산본시장,180
문화관광형 시장,2022,‘21~'22,경기,부천시,원미종합시장,200
문화관광형 시장,2022,‘21~'22,강원,원주시,중앙시민전통시장,160
문화관광형 시장,2022,‘21~'22,강원,정선군,고한구공탄시장,160
문화관광형 시장,2022,‘21~'22,충북,청주시,가경터미널시장,225
문화관광형 시장,2022,‘21~'22,충북,청주시,청주사창시장,200
문화관광형 시장,2022,‘21~'22,충북,음성군,무극시장,190
문화관광형 시장,2022,‘21~'22,충남,금산군,금산시장,152
문화관광형 시장,2022,‘21~'22,충남,공주시,유구시장,180
문화관광형 시장,2022,‘21~'22,충남,태안군,안면도수산시장,200
문화관광형 시장,2022,‘21~'22,경북,포항시,큰동해시장,225
문화관광형 시장,2022,‘21~'22,경북,김천시,김천평화시장,160
문화관광형 시장,2022,‘21~'22,경북,안동시,안동중앙신시장,152
문화관광형 시장,2022,‘21~'22,경남,창원시,창원반송시장,190
문화관광형 시장,2022,‘21~'22,경남,거제시,거제고현시장,200
문화관광형 시장,2022,‘21~'22,경남,거창군,거창시장,160
문화관광형 시장,2022,‘21~'22,전북,전주시,전주모래내시장,190
문화관광형 시장,2022,‘21~'22,전북,김제시,김제전통시장,200
문화관광형 시장,2022,‘21~'22,전남,목포시,자유시장,190
문화관광형 시장,2022,‘21~'22,전남,여수시,(주)여수수산시장,160
문화관광형 시장,2022,‘21~'22,전남,강진군,강진중앙로상가,200
첫걸음 기반조성,2022,‘22(단년도사업),서울,종로구,통인시장,135
첫걸음 기반조성,2022,‘22(단년도사업),서울,광진구,화양제일골목시장,135
첫걸음 기반조성,2022,‘22(단년도사업),서울,강북구,강북종합전통시장,135
첫걸음 기반조성,2022,‘22(단년도사업),서울,관악구,인헌시장,135
첫걸음 기반조성,2022,‘22(단년도사업),부산,동구,수정전통시장,162
첫걸음 기반조성,2022,‘22(단년도사업),부산,동래구,사직시장,162
첫걸음 기반조성,2022,‘22(단년도사업),부산,사하구,장림골목시장,162
첫걸음 기반조성,2022,‘22(단년도사업),대구,달서구,월배시장,162
첫걸음 기반조성,2022,‘22(단년도사업),대구,달서구,월배신시장,162
첫걸음 기반조성,2022,‘22(단년도사업),대구,달서구,성서아울렛상점가(가로형),162
첫걸음 기반조성,2022,‘22(단년도사업),인천,남동구,소래포구전통어시장,168
첫걸음 기반조성,2022,‘22(단년도사업),인천,부평구,일신시장(구 부일종합시장),162
첫걸음 기반조성,2022,‘22(단년도사업),인천,서구,루원음식문화거리 골목형상점가,162
첫걸음 기반조성,2022,‘22(단년도사업),광주,동구,남광주해뜨는시장,162
첫걸음 기반조성,2022,‘22(단년도사업),광주,동구,무등산상가거리상점가,162
첫걸음 기반조성,2022,‘22(단년도사업),대전,동구,용운시장,162
첫걸음 기반조성,2022,‘22(단년도사업),울산,동구,대송농수산물시장,162
첫걸음 기반조성,2022,‘22(단년도사업),경기,의정부시,의정부역지하상가,140
첫걸음 기반조성,2022,‘22(단년도사업),경기,이천시,사기막골도자기시장,108
첫걸음 기반조성,2022,‘22(단년도사업),충북,증평군,증평장뜰재래시장,135
첫걸음 기반조성,2022,‘22(단년도사업),충남,아산시,배방상점가,140
첫걸음 기반조성,2022,‘22(단년도사업),충남,당진시,합덕전통시장,135
첫걸음 기반조성,2022,‘22(단년도사업),전북,익산시,익산 구시장,135
첫걸음 기반조성,2022,‘22(단년도사업),전남,함평군,함평시장,135
첫걸음 기반조성,2022,‘22(단년도사업),경북,포항시,장량성도시장,135
첫걸음 기반조성,2022,‘22(단년도사업),경북,안동시,용상공설시장,135
첫걸음 기반조성,2022,‘22(단년도사업),경북,영주시,풍기인삼홍삼상점가,108
첫걸음 기반조성,2022,‘22(단년도사업),경북,칠곡군,왜관시장,140
첫걸음 기반조성,2022,‘22(단년도사업),경북,예천군,예천상설시장,108
첫걸음 기반조성,2022,‘22(단년도사업),경북,봉화군,봉화내성시장,108
첫걸음 기반조성,2022,‘22(단년도사업),경남,사천시,사천읍시장,135
디지털 전통시장,2022,‘22~'23,서울,광진구,중곡제일전통시장(중곡제일시장),75
디지털 전통시장,2022,‘22~'23,서울,강북구,수유전통시장,100
디지털 전통시장,2022,‘22~'23,서울,서대문구,포방터시장,75
디지털 전통시장,2022,‘22~'23,서울,금천구,남문시장,75
디지털 전통시장,2022,‘22~'23,서울,동작구,성대전통시장,75
디지털 전통시장,2022,‘22~'23,서울,강동구,암사종합시장,100
디지털 전통시장,2022,‘22~'23,부산,수영구,망미중앙시장,75
디지털 전통시장,2022,‘22~'23,인천,미추홀구,신기시장,100
디지털 전통시장,2022,‘22~'23,대전,동구,신도꼼지락시장,75
디지털 전통시장,2022,‘22~'23,세종,세종시,세종전통시장,100
디지털 전통시장,2022,‘22~'23,경기,수원시,화서시장,75
디지털 전통시장,2022,‘22~'23,경기,수원시,수원못골시장,75
디지털 전통시장,2022,‘22~'23,경기,성남시,성남중앙시장,75
디지털 전통시장,2022,‘22~'23,경기,안양시,안양중앙시장,100
디지털 전통시장,2022,‘22~'23,충남,천안시,천안중앙시장(구 남산중앙시장),75
디지털 전통시장,2022,‘22~'23,충남,당진시,당진전통시장,125
디지털 전통시장,2022,‘22~'23,전남,목포시,청호시장,75
디지털 전통시장,2022,‘22~'23,경북,문경시,점촌전통시장(구 신흥시장),75
디지털 전통시장,2022,‘22~'23,경북,문경시,문경중앙시장,125
디지털 전통시장,2022,‘22~'23,경북,경산시,하양꿈바우시장,75
디지털 전통시장,2022,‘22~'23,경북,청송군,진보시장,75
디지털 전통시장,2022,‘22~'23,제주,서귀포시,매일올레시장,100
청년몰 활성화,2022,‘22,충남,금산군,금산금빛시장,250
청년몰 활성화,2022,‘22,전북,김제시,김제전통시장,200
청년몰 활성화,2022,‘22,제주,제주시,제주중앙로상점가,155
청년몰 활성화,2022,‘22,강원,원주시, 미로예술원주중앙시장 ,250
청년몰 활성화,2022,‘22,강원,속초시, 설악로데오거리상점가 ,250
청년몰 활성화,2022,‘22,강원,삼척시, 삼척중앙시장 ,100
청년몰 활성화,2022,‘22,강원,정선군, 사북시장 ,200
청년몰 활성화,2022,‘22,경남,거창군, 거창전통시장 ,180
